author,author_type,location,deal_type,accommodation_type,floors_count,rooms_count,total_meters,price,district,underground,price_per_meter,availability_underground
Contact Real Estate,real_estate_agent,Москва,sale,flat,20,1,59.0,61800000.0,Пресненский,Улица 1905 года,1047458,True
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,5,1,14.4,3450000.0,Перово,Авиамоторная,239583,True
Среда,developer,Москва,sale,flat,44,1,31.61,14381127.0,Кунцево,Кунцевская,454955,True
Mikhail Uger,realtor,Москва,sale,flat,25,1,36.8,9900000.0,Чертаново Северное,Чертановская,269022,True
MR Group,developer,Москва,sale,flat,46,1,34.8,16375836.0,Даниловский,Павелецкая,470570,True
ФЛИП,real_estate_agent,Москва,sale,flat,5,1,31.3,8400000.0,Перово,Перово,268371,True
Главстрой,developer,Москва,sale,flat,35,1,39.22,18847239.0,Котловка,Профсоюзная,480552,True
ID 148596,homeowner,Москва,sale,flat,10,1,38.5,11280000.0,Выхино-Жулебино,Лермонтовский проспект,292987,True
ID 93236063,homeowner,Москва,sale,flat,12,1,37.0,15890000.0,Академический,Академическая,429459,True
Tekta Group,developer,Москва,sale,flat,34,1,30.0,17691000.0,Обручевский,Воронцовская,589700,True
ID 112609323,realtor,Москва,sale,flat,6,1,59.35,101785250.0,Мещанский,Кузнецкий мост,1715000,True
Мария Рыськина,realtor,Москва,sale,flat,12,1,33.5,14500000.0,Беговой,Динамо,432836,True
MR Group,developer,Москва,sale,flat,13,1,85.04,130383328.0,Мещанский,Цветной бульвар,1533200,True
ZIP Realty,real_estate_agent,Москва,sale,flat,10,1,31.0,14500000.0,Раменки,Ломоносовский проспект,467742,True
Никита Гаврилов,realtor,Москва,sale,flat,22,1,40.0,13290000.0,Марьино,Люблино,332250,True
Sminex,developer,Москва,sale,flat,14,1,72.6,139410000.0,Якиманка,Полянка,1920248,True
Romanov Estate,real_estate_agent,Москва,sale,flat,45,1,64.0,40999999.0,Дорогомилово,Шелепиха,640625,True
Homeapp,real_estate_agent,Москва,sale,flat,17,1,35.8,10399999.0,Марьино,Братиславская,290503,True
TOUCH,developer,Москва,sale,flat,13,1,45.3,27171760.0,Южнопортовый,Дубровка,599818,True
hoomie,real_estate_agent,Москва,sale,flat,20,1,43.09,20252300.0,Даниловский,Тульская,470000,True
Dream Realty,real_estate_agent,Москва,sale,flat,9,1,31.4,9200000.0,Ростокино,Ростокино,292994,True
